mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__colsample_bytree,param_classifier__gamma,param_classifier__learning_rate,param_classifier__max_depth,param_classifier__min_child_weight,param_classifier__n_estimators,param_classifier__scale_pos_weight,param_classifier__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.4378363609313964,0.10332717085627859,0.11817893981933594,0.020312084394728386,0.9,0.4,0.08,5,3,90,12,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.4, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 5, 'classifier__min_child_weight': 3, 'classifier__n_estimators': 90, 'classifier__scale_pos_weight': 12, 'classifier__subsample': 0.9}",0.8633543246538414,0.8850050442444546,0.8468696467306296,0.8746370055236904,0.863058083621595,0.8665848209548421,0.012772661270303323,99
1.6057141304016114,0.041921773372229854,0.1393052577972412,0.020690093967359314,0.9,0.4,0.08,5,3,110,8,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.4, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 5, 'classifier__min_child_weight': 3, 'classifier__n_estimators': 110, 'classifier__scale_pos_weight': 8, 'classifier__subsample': 0.9}",0.8636537913919867,0.8844715297286998,0.8478572446696547,0.8728121409975197,0.8648108037349388,0.8667211021045599,0.012009006518677954,68
1.6507770538330078,0.06218256393001333,0.13535923957824708,0.011290851293452454,0.9,0.4,0.08,5,3,110,10,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.4, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 5, 'classifier__min_child_weight': 3, 'classifier__n_estimators': 110, 'classifier__scale_pos_weight': 10, 'classifier__subsample': 0.9}",0.8633394332914409,0.8841319005698767,0.8475412767689721,0.8736295895325856,0.8640993715027406,0.8665483143331233,0.012139923219584795,107
1.616657590866089,0.05410652937761091,0.1275205135345459,0.0009248601723115593,0.9,0.4,0.08,5,3,110,12,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.4, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 5, 'classifier__min_child_weight': 3, 'classifier__n_estimators': 110, 'classifier__scale_pos_weight': 12, 'classifier__subsample': 0.9}",0.8634478968543557,0.8848235316766844,0.8465537322834897,0.8740103453815092,0.8635008177560028,0.8664672647904084,0.0127146825870671,121
1.8845485687255858,0.08128830828715329,0.15957655906677246,0.02221253412941029,0.9,0.4,0.08,5,3,130,8,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.4, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 5, 'classifier__min_child_weight': 3, 'classifier__n_estimators': 130, 'classifier__scale_pos_weight': 8, 'classifier__subsample': 0.9}",0.8628535092188482,0.8842757330742331,0.8485658702315834,0.8728827968266278,0.8651147364446021,0.866738529159179,0.011775238099867445,64
1.8481659889221191,0.05402888059468664,0.15128164291381835,0.008294587245511,0.9,0.4,0.08,5,3,130,10,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.4, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 5, 'classifier__min_child_weight': 3, 'classifier__n_estimators': 130, 'classifier__scale_pos_weight': 10, 'classifier__subsample': 0.9}",0.8634187221918946,0.883566258563577,0.8478046696843066,0.8736006461669699,0.8646733912580623,0.8666127375729621,0.011865571681004775,89
1.9492712020874023,0.16885752042793545,0.1510004997253418,0.009648313122416454,0.9,0.4,0.08,5,3,130,12,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.4, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 5, 'classifier__min_child_weight': 3, 'classifier__n_estimators': 130, 'classifier__scale_pos_weight': 12, 'classifier__subsample': 0.9}",0.862567759274321,0.8837502431721627,0.8460750704488609,0.873683462709707,0.8644837504763632,0.8661120572162829,0.012530970069540143,185
1.425115156173706,0.06226491082663014,0.10964322090148926,0.0008345608111312814,0.9,0.4,0.08,5,5,90,8,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.4, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 5, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 90, 'classifier__scale_pos_weight': 8, 'classifier__subsample': 0.9}",0.8635661425811245,0.8855089419838504,0.8488957839595742,0.8736656094122783,0.8638516222823763,0.8670976200438408,0.01213614379692498,9
1.375143337249756,0.04254825177010758,0.11360611915588378,0.007312166060127196,0.9,0.4,0.08,5,5,90,10,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.4, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 5, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 90, 'classifier__scale_pos_weight': 10, 'classifier__subsample': 0.9}",0.8641692732509063,0.8855032472782568,0.8476277025722301,0.8747338081145093,0.863702960526774,0.8671473983485353,0.012619371674315951,4
1.455181646347046,0.07868682494918167,0.1185124397277832,0.012762701897839821,0.9,0.4,0.08,5,5,90,12,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.4, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 5, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 90, 'classifier__scale_pos_weight': 12, 'classifier__subsample': 0.9}",0.8630416113881727,0.8837356387895983,0.8482385306470688,0.8745532975190913,0.8634483601462912,0.8666034876980444,0.011971829579587909,94
